C:\TA Instruments\WinTest\UnsecureWorkspace\TestData\BV\20221222_b3\b38u 05122023 053208_tdf.CSV,,
,,
   ,,
Elapsed Time ,Disp  ,Load 3 
Sec          ,mm    ,g      
0,1.064,-7.61
0.01,1.065,-7.53
0.02,1.069,-7.5
0.03,1.074,-7.26
0.04,1.079,-6.67
0.05,1.084,-6.05
0.06,1.089,-5.52
0.07,1.094,-5
0.08,1.099,-4.46
0.09,1.104,-4
0.1,1.109,-3.62
0.11,1.114,-3.3
0.12,1.119,-2.99
0.13,1.125,-2.67
0.14,1.129,-2.34
0.15,1.134,-2.04
0.16,1.139,-1.72
0.17,1.145,-1.43
0.18,1.149,-1.18
0.19,1.155,-0.98
0.2,1.159,-0.8
0.21,1.165,-0.59
0.22,1.169,-0.37
0.23,1.175,-0.18
0.24,1.18,0
0.25,1.185,0.22
0.26,1.189,0.43
0.27,1.195,0.6
0.28,1.199,0.76
0.29,1.205,0.93
0.3,1.21,1.1
0.31,1.214,1.22
0.32,1.22,1.35
0.33,1.225,1.52
0.34,1.229,1.69
0.35,1.235,1.86
0.36,1.24,1.99
0.37,1.245,2.14
0.38,1.25,2.31
0.39,1.255,2.47
0.4,1.26,2.59
0.41,1.266,2.7
0.42,1.27,2.82
0.43,1.274,2.95
0.44,1.279,3.08
0.45,1.285,3.24
0.46,1.29,3.43
0.47,1.295,3.62
0.48,1.3,3.74
0.49,1.304,3.84
0.5,1.31,3.93
0.51,1.315,4.04
0.52,1.32,4.17
0.53,1.325,4.35
0.54,1.33,4.53
0.55,1.335,4.7
0.56,1.34,4.83
0.57,1.345,4.96
0.58,1.35,5.08
0.59,1.355,5.23
0.6,1.36,5.39
0.61,1.365,5.54
0.62,1.369,5.65
0.63,1.375,5.76
0.64,1.381,5.88
0.65,1.385,6.03
0.66,1.39,6.21
0.67,1.395,6.43
0.68,1.4,6.64
0.69,1.405,6.81
0.7,1.409,6.92
0.71,1.415,7
0.72,1.42,7.07
0.73,1.424,7.21
0.74,1.43,7.4
0.75,1.435,7.6
0.76,1.44,7.79
0.77,1.445,8
0.78,1.45,8.19
0.79,1.455,8.32
0.8,1.459,8.43
0.81,1.464,8.55
0.82,1.47,8.69
0.83,1.475,8.82
0.84,1.481,8.96
0.85,1.485,9.15
0.86,1.49,9.37
0.87,1.495,9.61
0.88,1.5,9.79
0.89,1.505,9.91
0.9,1.51,10.03
0.91,1.515,10.19
0.92,1.52,10.32
0.93,1.525,10.48
0.94,1.53,10.65
0.95,1.535,10.85
0.96,1.54,11.02
0.97,1.545,11.21
0.98,1.55,11.4
0.99,1.555,11.58
1,1.56,11.7
1.01,1.566,11.79
1.02,1.568,11.94
1.03,1.568,12.09
1.04,1.57,12.04
1.05,1.571,11.86
1.06,1.573,11.76
1.07,1.575,11.78
1.08,1.578,11.81
1.09,1.582,11.84
1.1,1.585,11.93
1.11,1.589,12.09
1.12,1.595,12.31
1.13,1.599,12.51
1.14,1.605,12.72
1.15,1.612,12.98
1.16,1.618,13.24
1.17,1.625,13.5
1.18,1.632,13.79
1.19,1.641,14.12
1.2,1.649,14.49
1.21,1.658,14.91
1.22,1.667,15.29
1.23,1.676,15.64
1.24,1.686,16.06
1.25,1.697,16.5
1.26,1.707,16.93
1.27,1.718,17.38
1.28,1.73,17.85
1.29,1.742,18.31
1.3,1.753,18.76
1.31,1.765,19.23
1.32,1.779,19.76
1.33,1.791,20.26
1.34,1.805,20.75
1.35,1.818,21.24
1.36,1.832,21.73
1.37,1.846,22.23
1.38,1.86,22.75
1.39,1.875,23.26
1.4,1.889,23.75
1.41,1.903,24.22
1.42,1.918,24.71
1.43,1.933,25.17
1.44,1.949,25.61
1.45,1.964,26.08
1.46,1.979,26.57
1.47,1.995,27.05
1.48,2.011,27.49
1.49,2.026,27.88
1.5,2.042,28.27
1.51,2.057,28.66
1.52,2.073,29.02
1.53,2.088,29.37
1.54,2.104,29.76
1.55,2.12,30.11
1.56,2.135,30.49
1.57,2.151,30.85
1.58,2.167,31.2
1.59,2.182,31.55
1.6,2.197,31.86
1.61,2.212,32.14
1.62,2.227,32.42
1.63,2.242,32.7
1.64,2.256,32.97
1.65,2.271,33.2
1.66,2.285,33.39
1.67,2.299,33.6
1.68,2.313,33.79
1.69,2.326,33.95
1.7,2.34,34.13
1.71,2.353,34.33
1.72,2.365,34.54
1.73,2.378,34.74
1.74,2.391,34.91
1.75,2.402,35.08
1.76,2.414,35.23
1.77,2.425,35.29
1.78,2.435,35.33
1.79,2.447,35.43
1.8,2.456,35.58
1.81,2.467,35.75
1.82,2.475,35.87
1.83,2.485,35.98
1.84,2.493,36.07
1.85,2.501,36.08
1.86,2.508,36.07
1.87,2.516,36.01
1.88,2.523,35.89
1.89,2.529,35.75
1.9,2.535,35.66
1.91,2.54,35.62
1.92,2.545,35.59
1.93,2.55,35.55
1.94,2.554,35.47
1.95,2.557,35.32
1.96,2.56,35.1
1.97,2.563,34.84
1.98,2.564,34.59
1.99,2.567,34.36
2,2.568,34.15
2.01,2.568,33.98
2.02,2.569,33.79
2.03,2.568,33.54
2.04,2.567,33.23
2.05,2.566,32.87
2.06,2.564,32.46
2.07,2.562,32.07
2.08,2.56,31.71
2.09,2.556,31.34
2.1,2.552,30.92
2.11,2.548,30.45
2.12,2.544,29.91
2.13,2.539,29.34
2.14,2.533,28.74
2.15,2.527,28.15
2.16,2.52,27.54
2.17,2.513,26.92
2.18,2.506,26.27
2.19,2.498,25.58
2.2,2.49,24.9
2.21,2.482,24.24
2.22,2.472,23.55
2.23,2.462,22.83
2.24,2.452,22.07
2.25,2.442,21.29
2.26,2.432,20.51
2.27,2.421,19.76
2.28,2.409,19.07
2.29,2.397,18.45
2.3,2.385,17.79
2.31,2.373,17.09
2.32,2.36,16.36
2.33,2.347,15.59
2.34,2.334,14.83
2.35,2.321,14.17
2.36,2.306,13.61
2.37,2.293,13.06
2.38,2.278,12.46
2.39,2.264,11.86
2.4,2.249,11.26
2.41,2.234,10.63
2.42,2.22,10.03
2.43,2.204,9.48
2.44,2.189,9.02
2.45,2.174,8.58
2.46,2.158,8.08
2.47,2.143,7.58
2.48,2.127,7.09
2.49,2.112,6.65
2.5,2.096,6.26
2.51,2.08,5.87
2.52,2.065,5.47
2.53,2.049,5.1
2.54,2.033,4.7
2.55,2.017,4.3
2.56,2.002,3.98
2.57,1.986,3.75
2.58,1.97,3.49
2.59,1.955,3.2
2.6,1.94,2.89
2.61,1.924,2.59
2.62,1.91,2.27
2.63,1.894,1.99
2.64,1.88,1.78
2.65,1.865,1.64
2.66,1.852,1.5
2.67,1.838,1.3
2.68,1.824,1.05
2.69,1.81,0.8
2.7,1.796,0.59
2.71,1.784,0.43
2.72,1.771,0.33
2.73,1.758,0.24
2.74,1.746,0.13
2.75,1.734,-0.02
2.76,1.723,-0.18
2.77,1.711,-0.36
2.78,1.7,-0.52
2.79,1.691,-0.64
2.8,1.68,-0.68
2.81,1.67,-0.72
2.82,1.661,-0.85
2.83,1.652,-0.98
2.84,1.644,-1.05
2.85,1.635,-1.12
2.86,1.627,-1.18
2.87,1.621,-1.26
2.88,1.614,-1.33
2.89,1.608,-1.42
2.9,1.602,-1.53
2.91,1.596,-1.59
2.92,1.591,-1.59
2.93,1.587,-1.55
2.94,1.583,-1.53
2.95,1.579,-1.56
2.96,1.576,-1.6
2.97,1.574,-1.65
2.98,1.572,-1.69
2.99,1.57,-1.71
3,1.57,-1.66
3.01,1.568,-1.54
3.02,1.569,-1.41
3.03,1.569,-1.38
3.04,1.569,-1.38
3.05,1.571,-1.36
3.06,1.572,-1.31
3.07,1.575,-1.27
3.08,1.579,-1.16
3.09,1.582,-0.96
3.1,1.585,-0.74
3.11,1.589,-0.6
3.12,1.593,-0.5
3.13,1.599,-0.42
3.14,1.604,-0.32
3.15,1.611,-0.19
3.16,1.617,-0.04
3.17,1.625,0.13
3.18,1.631,0.34
3.19,1.64,0.56
3.2,1.648,0.76
3.21,1.657,0.94
3.22,1.666,1.13
3.23,1.675,1.33
3.24,1.685,1.51
3.25,1.696,1.69
3.26,1.706,1.86
3.27,1.718,2.08
3.28,1.729,2.33
3.29,1.74,2.63
3.3,1.753,2.95
3.31,1.765,3.27
3.32,1.777,3.56
3.33,1.791,3.82
3.34,1.803,4.07
3.35,1.818,4.33
3.36,1.831,4.65
3.37,1.845,5.04
3.38,1.86,5.44
3.39,1.873,5.84
3.4,1.888,6.24
3.41,1.903,6.65
3.42,1.918,7
3.43,1.933,7.38
3.44,1.948,7.82
3.45,1.964,8.32
3.46,1.979,8.8
3.47,1.994,9.28
3.48,2.01,9.77
3.49,2.026,10.29
3.5,2.041,10.8
3.51,2.057,11.31
3.52,2.073,11.84
3.53,2.088,12.4
3.54,2.104,12.97
3.55,2.119,13.54
3.56,2.135,14.1
3.57,2.151,14.69
3.58,2.166,15.28
3.59,2.181,15.88
3.6,2.196,16.49
3.61,2.212,17.11
3.62,2.227,17.75
3.63,2.241,18.37
3.64,2.257,18.97
3.65,2.271,19.56
3.66,2.285,20.18
3.67,2.299,20.78
3.68,2.312,21.35
3.69,2.326,21.96
3.7,2.34,22.58
3.71,2.353,23.19
3.72,2.365,23.78
3.73,2.377,24.33
3.74,2.39,24.86
3.75,2.401,25.36
3.76,2.413,25.87
3.77,2.424,26.33
3.78,2.435,26.8
3.79,2.446,27.33
3.8,2.456,27.83
3.81,2.466,28.28
3.82,2.475,28.7
3.83,2.484,29.08
3.84,2.493,29.44
3.85,2.5,29.73
3.86,2.507,29.97
3.87,2.515,30.21
3.88,2.522,30.45
3.89,2.529,30.69
3.9,2.534,30.92
3.91,2.54,31.09
3.92,2.545,31.21
3.93,2.549,31.27
3.94,2.553,31.28
3.95,2.557,31.26
3.96,2.56,31.23
3.97,2.563,31.2
3.98,2.565,31.21
3.99,2.567,31.2
4,2.568,31.1
4.01,2.568,30.94
4.02,2.568,30.73
4.03,2.568,30.49
4.04,2.568,30.21
4.05,2.566,29.93
4.06,2.565,29.67
4.07,2.562,29.44
4.08,2.56,29.16
4.09,2.556,28.82
4.1,2.552,28.39
4.11,2.549,27.9
4.12,2.544,27.39
4.13,2.539,26.86
4.14,2.533,26.32
4.15,2.527,25.79
4.16,2.52,25.24
4.17,2.513,24.65
4.18,2.506,24.07
4.19,2.498,23.46
4.2,2.49,22.8
4.21,2.481,22.12
4.22,2.472,21.4
4.23,2.462,20.68
4.24,2.453,19.97
4.25,2.442,19.28
4.26,2.432,18.62
4.27,2.421,17.97
4.28,2.409,17.33
4.29,2.397,16.67
4.3,2.385,15.97
4.31,2.373,15.25
4.32,2.36,14.55
4.33,2.347,13.91
4.34,2.334,13.33
4.35,2.32,12.77
4.36,2.306,12.18
4.37,2.292,11.57
4.38,2.278,10.93
4.39,2.264,10.32
4.4,2.25,9.76
4.41,2.234,9.25
4.42,2.22,8.8
4.43,2.204,8.36
4.44,2.189,7.87
4.45,2.173,7.37
4.46,2.159,6.9
4.47,2.143,6.43
4.48,2.128,5.97
4.49,2.111,5.55
4.5,2.096,5.2
4.51,2.08,4.84
4.52,2.064,4.44
4.53,2.049,4.13
4.54,2.033,3.85
4.55,2.017,3.56
4.56,2.002,3.24
4.57,1.986,2.94
4.58,1.97,2.62
4.59,1.955,2.29
4.6,1.94,1.97
4.61,1.924,1.71
4.62,1.91,1.54
4.63,1.895,1.43
4.64,1.88,1.27
4.65,1.865,1.03
4.66,1.851,0.78
4.67,1.837,0.53
4.68,1.824,0.29
4.69,1.81,0.11
4.7,1.797,0
4.71,1.784,-0.06
4.72,1.771,-0.18
4.73,1.758,-0.34
4.74,1.746,-0.52
4.75,1.734,-0.67
4.76,1.723,-0.8
4.77,1.712,-0.93
4.78,1.7,-1.03
4.79,1.69,-1.14
4.8,1.68,-1.26
4.81,1.67,-1.39
4.82,1.661,-1.5
4.83,1.652,-1.59
4.84,1.644,-1.63
4.85,1.635,-1.7
4.86,1.628,-1.81
4.87,1.621,-1.92
4.88,1.614,-2.03
4.89,1.607,-2.14
4.9,1.601,-2.2
4.91,1.596,-2.21
4.92,1.591,-2.2
4.93,1.587,-2.2
4.94,1.583,-2.24
4.95,1.579,-2.3
4.96,1.576,-2.37
4.97,1.574,-2.4
4.98,1.572,-2.4
4.99,1.57,-2.37
5,1.569,-2.31
5.01,1.568,-2.24
5.02,1.568,-2.2
5.03,1.568,-2.19
5.04,1.57,-2.16
5.05,1.571,-2.1
5.06,1.572,-1.97
5.07,1.574,-1.84
5.08,1.577,-1.74
5.09,1.582,-1.64
5.1,1.584,-1.53
5.11,1.589,-1.41
5.12,1.594,-1.28
5.13,1.6,-1.11
5.14,1.605,-0.9
5.15,1.611,-0.72
5.16,1.617,-0.63
5.17,1.623,-0.5
5.18,1.631,-0.35
5.19,1.639,-0.17
5.2,1.648,0.05
5.21,1.656,0.24
5.22,1.666,0.43
5.23,1.675,0.62
5.24,1.685,0.78
5.25,1.696,0.92
5.26,1.706,1.12
5.27,1.717,1.35
5.28,1.729,1.61
5.29,1.74,1.85
5.3,1.751,2.08
5.31,1.764,2.3
5.32,1.778,2.53
5.33,1.79,2.76
5.34,1.804,3.01
5.35,1.817,3.29
5.36,1.831,3.6
5.37,1.845,3.94
5.38,1.859,4.27
5.39,1.874,4.62
5.4,1.889,4.97
5.41,1.903,5.32
5.42,1.918,5.68
5.43,1.933,6.04
5.44,1.949,6.4
5.45,1.964,6.78
5.46,1.979,7.19
5.47,1.994,7.64
5.48,2.01,8.12
5.49,2.025,8.64
5.5,2.041,9.16
5.51,2.057,9.66
5.52,2.072,10.11
5.53,2.087,10.54
